DATE,QTY,PRODUCT NAME,PRICE PER UNIT,TOTAL,PAYMENT METHOD,,,,
8/1/2025,1,SPARK PLUG,180,180,,,,,
8/1/2025,1,SPARK PLUG CUP,30,30,,,,,
8/1/2025,1,250-17 TUBE,550,550,,,,,
8/1/2025,1,BOLT,30,30,,,,,
8/1/2025,1,MULTI PURPOSE OIL 800ML,200,200,,,,,
8/1/2025,1,THROTTLE PIPE,30,30,,,,,
8/1/2025,1,HAND GRIP,150,150,,,,,
8/1/2025,1,BOLT,140,140,,,,,
8/1/2025,1,SAMURAI PAINT,250,250,,,,,
8/1/2025,1,SAND PAPER,30,30,,,,,
8/1/2025,1,BOLT,20,20,,,,,
8/1/2025,1,Yamalube  Blue Core 1L ,360,360,,,,,
8/1/2025,4,ALLEN BOLT,25,100,,,,,
8/1/2025,1,BOLT,24,24,,,,,
8/1/2025,1,SAMURAI PAINT,250,250,,,,,
8/1/2025,1,SPARK PLUG,80,80,,,,,
8/1/2025,1,SHOCK EXTENSION,150,150,,,,,
8/1/2025,4,NUT,5,20,,,,,
8/1/2025,1,HAND GRIP,200,200,,,,,
8/1/2025,1,SILVESTRE COOLANT 50ML ,130,130,,,,,
8/1/2025,1,BRAKE PAD,150,150,,,,,
8/1/2025,1,PRESTONE COOLANT ,180,180,,,,,
8/1/2025,1,RUG,10,10,,,,,
8/1/2025,1,BOLT,60,60,,,,,
8/1/2025,1,FULLY 800ML,255,255,,,,,
8/1/2025,1,300-17 TUBE,190,190,,,,,
8/1/2025,1,SIDE MIRROR,250,250,,,,,
8/1/2025,1,SEALANT,120,120,,,,,
8/1/2025,1,CASTROL 800ML,315,315,,,,,
8/1/2025,1,HANDLE GRIP,200,200,,,,,
8/1/2025,1,CLUTCH CABLE,150,150,,,,,
8/1/2025,1,HIRC PULLEY BALL ,365,365,,,,,
8/1/2025,1,fully 800ML,280,280,,,,,
8/1/2025,1,OIL FILTER,50,50,,,,,
8/1/2025,1,Yamalube  Blue Core 1L ,360,360,,,,,
8/1/2025,1,BALL RACE,200,200,,,,,
8/1/2025,1,SHELL 800ML,315,315,,,,,
8/1/2025,1,BRACKET,100,100,,,,,
8/1/2025,1,HIRC Pulley BALL NMAX,335,335,,,,,
8/1/2025,1,HIRC CLUTCH SPRING MIO,175,175,,,,,
8/1/2025,1,EXHAUST GASKET,30,30,,,,,
8/1/2025,1,SIDE MIRROR,230,230,,,,,
8/1/2025,2,ADAPTER,60,60,,,,,
8/1/2025,1,BOLT 12X40,25,25,,,,,
8/1/2025,1,SPARK PLUG,80,80,,,,,
8/1/2025,1,FORK OIL,80,80,,,,,
8/1/2025,1,CASTROL 800ML,315,315,,,,,
8/1/2025,1,CHAIN,300,300,,,,,
8/1/2025,4,BOLT 8X30,20,80,,,,,
8/1/2025,4,NUT,5,20,,,,,
8/1/2025,1,SHELL 1L,355,355,,,,,
8/1/2025,1,OIL FILTER,50,50,,,,,
8/2/2025,1,BRAKE FLUID,70,70,,,,,
8/2/2025,1,TANK FLUID,120,120,,,,,
8/2/2025,1,BOLT,10,10,,,,,
8/2/2025,1,BELT REPLACEMENT,450,450,,,,,
8/2/2025,1,BRAKE PAD SILVESTRE,200,200,,,,,
8/2/2025,1,PULLEY BALL ORIG,330,330,,,,,
