DATE,QUANTITY,PRODUCT NAME,PRICE PER UNIT,TOTAL,PAYMENT METHOD
6/21/2025,1,CHAIN LOCK,25,25,CASH
6/21/2025,1,T-CABLE,140,140,CASH
6/21/2025,1,BRAKE PAD,180,180,CASH
6/21/2025,1,BELT (B65-E741),650,650,CASH
6/21/2025,2,SEAT COVER,300,600,CASH
6/21/2025,1,5A MOTOLITE,785,785,CASH
6/21/2025,1,SEALANT,100,100,CASH
6/21/2025,1,3 WAY switch,220,220,CASH
6/21/2025,1,SPRING,40,40,CASH
6/21/2025,1,BULB,30,30,CASH
6/21/2025,1,5A THAIWORKZ,500,500,CASH
6/21/2025,2,BEARING,80,160,CASH
6/21/2025,2,TUBELESS VALVE,50,100,CASH
6/21/2025,1,100/80-17 TUBELESS,1800,1800,CASH
6/21/2025,1,STARTER SWITCH,40,40,CASH
6/21/2025,1,BRAKE PADS(ORIG),550,550,CASH
6/21/2025,1,FOOTREST RS 150,350,350,CASH
6/21/2025,1,AIR FILTER,315,315,CASH
6/21/2025,3,GREASE,10,30,CASH
6/21/2025,4,RUG,10,40,CASH
6/21/2025,3,AT FULLY 800ML,260,780,CASH
6/21/2025,1,PULLEY BALL HIRC,335,335,CASH
6/21/2025,1,BRAKE SHOE HIRC,1100,1100,CASH
6/21/2025,2,CENTER SPRING HIRC,310,620,CASH
6/21/2025,1,OIL SEAL,100,100,CASH
6/21/2025,1,PULLEY BALL,250,250,CASH
6/21/2025,1,GEAR OIL FULLY,95,95,CASH
6/21/2025,1,AIR FILTER,350,350,CASH
6/21/2025,1,SHELL AX7 1L,355,355,CASH
6/21/2025,1,ENGINE LOCK,20,20,CASH
6/21/2025,1,SPROCKET SET STX,640,640,CASH
6/21/2025,1,CASTROL 1L GOLD,360,360,CASH
6/21/2025,1,GEAR OIL FULLY,95,95,CASH
6/21/2025,3,CABLE TIE,15,45,CASH
6/21/2025,1,CLUTCH MAPZONE ASSY,420,420,CASH
6/21/2025,1,FOOTREST XRM,150,150,CASH
6/21/2025,1,BRAKE FLUID,70,70,CASH
6/21/2025,1,HAND GRIP,250,250,CASH
6/21/2025,1,SPROCKET SET XRM FI,870,870,CASH
6/21/2025,1,SPROCKET,230,230,
6/21/2025,1,ELECTRICAL TAPE,30,30,
6/21/2025,1,WIRE,40,40,
6/21/2025,1,SEAT COVER,300,300,
6/21/2025,1,AT MULTI 800,215,215,
6/21/2025,1,GEAR OIL MULTI,65,65,
6/21/2025,1,BOLT,100,100,
6/22/2025,6,FUSE,10,60,
6/22/2025,1,ENGINE SPROCKET,80,80,
6/22/2025,1,SEAT COVER,220,220,
6/22/2025,1,HAND GRIP,300,300,
6/22/2025,1,LED BULB,150,150,
6/22/2025,1,SIDE STAND,200,200,
6/22/2025,1,SEAT COVER,200,200,
6/22/2025,1,FULLY 800ML,255,255,
6/22/2025,1,FUEL HOSE,40,40,
6/22/2025,1,PLATE HOLDER,150,150,
6/22/2025,1,BOLT,150,150,
6/22/2025,1,ELECTRICAL TAPE,30,30,
6/22/2025,1,BOLT,50,50,
6/22/2025,1,WIRE,200,200,
6/22/2025,2,SPARK PLUG,220,440,
6/22/2025,1,ELECTRICAL TAPE,42,42,
6/22/2025,2,LED BULB,250,500,
6/22/2025,1,BOLT PLATE,10,10,
6/22/2025,1,ALLEN BOLT W/ DESIGN,40,40,
6/22/2025,1,WASHER 6MM,4,4,
6/22/2025,1,80/80-17 TUBELESS TIRE,1150,1150,
6/22/2025,1,SEALANT,120,120,
6/22/2025,1,5A THAIWORKZ,500,500,
6/22/2025,1,LED BULB W/ BLOWER,500,500,
6/22/2025,1,SPARK PLUG,80,80,
6/22/2025,1,RUBBER DAMPER ,120,120,Cash
6/22/2025,1,GREASE,10,10,Cash
6/22/2025,1,CHAIN  ,280,280,Cash
6/22/2025,1,BEARING,80,80,
6/22/2025,8,ALLEN BOLTS,3,35,
6/22/2025,1,4T MULTI 800ML,205,205,
6/22/2025,1,BREAK SHOE,220,220,
6/22/2025,1,SPROCKET,230,230,
6/22/2025,1,FOOTREST,150,150,
6/22/2025,1,AT FULLLY SYNTHETIC,200,200,
6/22/2025,1,GEAR OIL FULLY SYNTHETIC,95,95,
6/22/2025,2,GRASA,10,20,
6/22/2025,2,PLATE BOLT,10,20,
6/22/2025,1,BRAKE SHOE  ,150,150,
6/22/2025,1,SEAT COVER ,250,250,
6/22/2025,10,CABLE TIE ,5,50,
6/22/2025,1,ELECTRICAL TAPE ,30,30,
6/22/2025,4,FUSE,5,20,
6/22/2025,1,GASKET ALL,100,100,
6/22/2025,2,PLAETE BOLTS,10,20,
6/22/2025,1,BRAKE PAD,370,370,
6/22/2025,3,PLATE BOLT,10,30,
6/22/2025,1,DISC PLATE TRINITY,600,600,
6/22/2025,2,WAHSER,2,4,
6/22/2025,2,PLATE BOLT,10,20,
6/22/2025,2,BEARING 6201,80,160,
6/22/2025,1,BULB,30,30,
6/22/2025,1,TUBE 275 - 17,180,180,
6/22/2025,1,Silvestre AT Fully 800ml,260,260,
6/22/2025,2,MUITI 800ML,205,410,
6/22/2025,1,BRAKE FLUID,70,70,
6/22/2025,1,BULB,30,30,
6/22/2025,1,FORK OIL,80,80,
6/22/2025,1,BREAK CABLE TMX,140,140,
6/22/2025,2,WASHER 6MM,7,14,
6/22/2025,1,BORE KIT WAVE 125,1500,1500,
6/22/2025,1,BRAKE PAD,150,150,
6/22/2025,1,BOLT,30,30,
6/22/2025,1,FOOTREST XRM,150,150,
6/22/2025,5,WIRE,30,150,
6/22/2025,1,300 - 14 TUBE,170,170,
6/22/2025,1,PULLEY DRIVE,520,520,
6/22/2025,1,PULLEY BALL HIRC,335,335,
6/22/2025,3,SLIDER PIECE,80,240,
6/22/2025,1,225 - 17 TUBE,160,160,
6/22/2025,1,80/80 -17 TUBELESS,1050,1050,
6/22/2025,1,BRAKE FLUID,70,70,
6/22/2025,1,GRASA,20,20,
6/22/2025,1,SEALANT,120,120,
6/22/2025,1,BRAKE PAD,390,390,
6/22/2025,1,FULLY SYNTHETIC OIL ,280,280,
6/22/2025,1,OIL FILTER,50,50,
6/22/2025,1,AT FULLY SYNTHETIC 800ML,260,260,
6/22/2025,1,GEAR OIL,95,95,
6/22/2025,1,250 - 17 TUBE,170,170,
6/23/2025,1,215 - 17 TUBE,170,170,
6/23/2025,1,FULLY SYNTHETIC OIL ,280,280,
6/23/2025,4,CABLE TIE,10,40,
6/23/2025,1,THROTLE CABLE,150,150,
6/23/2025,1,110/70 -14 TUBELESS,1450,1450,
6/23/2025,1,TIRQUE DRIVE BEARING SPORTY,350,450,
6/23/2025,1,90/80 - 17 TUBELESS,1200,1200,
6/23/2025,1,BRAKE SHOE,150,150,
6/23/2025,1,SPARK PLUG BOSCH,180,180,
6/23/2025,1,BOLT,40,40,
6/23/2025,1,225 - 17 TUBE,160,160,
6/23/2025,1,SEALANT,120,120,
6/23/2025,1,BOLT,50,50,
6/23/2025,1,SHOCK ASSY FRONT WAVE,1200,1200,
6/23/2025,1,GREASE,30,30,
6/23/2025,1,REAPAIR KIT,150,150,
6/23/2025,1,BOLT 8 X 100,40,40,
6/23/2025,1,BOLT 8 X 80,35,35,
6/23/2025,1,80/90 -17 TUBELESS W/ SEALANT,1150,1150,
6/23/2025,1,TIRE VALVE ,50,50,
6/23/2025,1,BRAKE SWITCH,70,70,
6/23/2025,2,BEARING 6300,80,160,
6/23/2025,1,MUSHROOM INTAKE BIG,230,230,
6/23/2025,1,MUSHROOM BREATHER ,200,200,
6/23/2025,1,THROTTLE CABLE CB110,150,150,
6/23/2025,1,PULLEY BALL HIRC,300,300,
6/23/2025,1,CLUTCH CABLE FZ 160,170,170,
6/23/2025,1,LED BULB,250,250,
6/23/2025,1,70/80 - 17 TUBLESS,920,920,
6/23/2025,1,FORK OIL ,80,80,
6/23/2025,2,OIL SEAL,80,160,
6/23/2025,1,BRAKE FLUID,70,70,
6/23/2025,1,BOLT,26,26,
6/23/2025,2,BULB,35,70,
6/23/2025,1,PULLEY BALL,250,250,
6/23/2025,3,CABLE TIE,5,35,
6/23/2025,1,CVT,220,220,
6/23/2025,1,GREASE,30,30,
