DATE,QUANTITY,PRODUCT NAME,PRICE PER UNIT,TOTAL,PAYMENT METHOD,,,
10/4/2025,1,NGK OVERSIZE,180,180,CASH,,,
10/4/2025,1,WAX,150,150,CASH,,,
10/4/2025,1,FLUID COVER,150,150,CASH,,,
10/4/2025,2,FUSE,10,20,CASH,,,
10/4/2025,4,ALIEN BOLT ,45,180,CASH,,,
10/4/2025,1,PHONE STAND ,420,420,CASH,,,
10/4/2025,1,BOLT 6X20,10,10,CASH,,,
10/4/2025,1,5L Extreme Battery BATTRY,670,670,CASH,,,
10/4/2025,1,888,150,150,CASH,,,
10/4/2025,1,GASKET ALL,100,100,CASH,,,
10/4/2025,2,NUT,5,10,CASH,,,
10/4/2025,1,Prestone Coolant 500ml,200,200,CASH,,,
10/4/2025,2,Oil Seal Fork XRM ,80,160,CASH,,,
10/4/2025,1,SPARK PLUG,80,80,CASH,,,
10/4/2025,1,SEAT COVER,200,200,CASH,,,
10/4/2025,1,BULB,100,100,CASH,,,
10/4/2025,1,IGNITION SWITCH XRM 71,250,250,CASH,,,
10/4/2025,1,SPOKE 10X 157,220,220,CASH,,,
10/4/2025,1,ELECTRICAL TAPE,25,25,CASH,,,
10/4/2025,1,HORN SINGLE SMALL,150,150,CASH,,,
10/4/2025,1,WIRE ,40,40,CASH,,,
10/4/2025,1,ELECTRICAL TAPE,25,25,CASH,,,
10/4/2025,1,SHOCK,700,700,CASH,,,
10/4/2025,1,CLUTCH LEVER,90,90,CASH,,,
10/4/2025,2,BULB,20,40,CASH,,,
10/4/2025,1,BRAKE MASTER,320,320,CASH,,,
10/4/2025,1,BRAKE FLUID,70,70,CASH,,,
10/4/2025,1,HORN ,150,150,CASH,,,
10/4/2025,1,SIDE MIRROR,250,250,CASH,,,
10/4/2025,1,S-M HOLDER ,100,100,CASH,,,
10/4/2025,1,BULB,25,25,CASH,,,
10/4/2025,1,NUT,3,3,CASH,,,
10/4/2025,1,WASHER,2,2,CASH,,,
10/4/2025,1,SPARK PLUG (NGK ORIGINAL),180,180,CASH,,,
10/4/2025,1,FUEL FILTER ,150,150,CASH,,,
10/4/2025,1,CASTROL 800ML POWER 1 ,320,320,CASH,,,
10/4/2025,1,SEAT COVER,280,280,CASH,,,
10/4/2025,1,MOTOR OIL FULLY SYNTHETIC 800ML,250,250,CASH,,,
10/4/2025,1,BRAKE FLUID,70,70,CASH,,,
10/4/2025,1,SEAT COVER,250,250,CASH,,,
10/4/2025,1,SIDE MIRROR,250,250,CASH,,,
10/4/2025,1,SPROCKET SET (2PV),1320,1320,CASH,,,
10/4/2025,1,PULLEY SET,1670,1670,CASH,,,
10/4/2025,1,CLUTCH SHOE,1100,1100,CASH,,,
10/4/2025,1,BUSHING ,250,250,CASH,,,
10/4/2025,1,SEAT COVER,250,250,CASH,,,
10/4/2025,5,PEANUT BULB ,10,50,CASH,,,
10/4/2025,1,GASKET ALL,100,100,CASH,,,
10/4/2025,1,CASTROL  1L POWER 1,360,360,CASH,,,
10/4/2025,1,BRAKE SHOE,220,220,CASH,,,
10/4/2025,1,LED LIGHTS ,280,280,CASH,,,
10/4/2025,1,BRAKE LIGHTS ,30,30,CASH,,,
10/4/2025,1,MASTER KIT ,120,120,CASH,,,
10/4/2025,1,PULLEY SET NMAX,2040,2040,GCASH,,,
10/4/2025,2,BOLT,15,30,CASH,,,
10/4/2025,1,SIDE MIRROR,250,250,CASH,,,
10/4/2025,1,BRAKE LEVER L & R TMX ,100,200,CASH,,,
10/4/2025,1,SIGNAL LIGHT ASSY TMX,150,150,CASH,,,
10/4/2025,2,PEANUT BULB ,10,20,CASH,,,
10/4/2025,1,SIDE MIRROR,250,250,CASH,,,
10/4/2025,1,EXHAUST GASKET,40,40,GCASH,,,
10/4/2025,1,CDI XRM - 110,200,200,GCASH,,,
10/4/2025,1,OIL FILTER,50,50,CASH,,,
10/4/2025,1,RUG,10,10,CASH,,,
10/4/2025,1,LONG RIDE,420,420,CASH,,,
10/4/2025,1,ANTI RUST,130,130,CASH,,,
10/4/2025,1,SIDE MIRROR,200,200,CASH,,,
10/4/2025,1,HAND GRIP,220,220,CASH,,,
10/4/2025,1,MULTI 810,200,200,CASH,,,
10/4/2025,1,REGULATION XRM 125,250,250,CASH,,,
10/4/2025,1,SEAT COVER,280,280,CASH,,,
10/5/2025,1,200-17 LEO TUBE,150,150,,,,
10/5/2025,1,250-17 LEO TUBE,170,170,,,,
10/5/2025,1,WD40,200,200,,,,
10/5/2025,1,250-17 TIRE,550,550,,,,
10/5/2025,1,MWI 80,200,200,,,,
10/5/2025,1,HAND GRIP,200,200,,,,
10/5/2025,1,FUEL FILTER WITH HOSE,50,50,,,,
10/5/2025,1,Silvestre AT Fully 800ml ,260,260,,,,
10/5/2025,1,GEAR OIL FULLY SYNTHETIC OIL ,90,90,,,,
10/5/2025,1,BALL RACE,570,570,,,,
10/5/2025,2,GREASE,10,20,,,,
10/5/2025,1,CHAIN LUBE,150,150,,,,
10/5/2025,1,OIL FILTER,50,50,,,,
10/5/2025,1,SEAT COVER,280,280,,,,
10/5/2025,1,GEAR OIL FULLY SYNTHETIC OIL ,95,95,,,,
10/5/2025,1,AT FULLY 900 ,275,275,,,,
10/5/2025,1,SIDE MIRROR,250,250,,,,
10/5/2025,5,ALIEN BOLT 6X25,25,125,,,,
10/5/2025,1,BRAKE SHOE,380,380,,,,
10/5/2025,1,BIG DISC,1000,1000,,,,
10/5/2025,1,FOOTREST REAR ,150,150,,,,
10/5/2025,1,CASTROL ACTIV 800ML ,240,240,,,,
10/5/2025,1,HIRC FLYBALL ,365,365,,,,
10/5/2025,1,SLIDER,170,170,,,,
10/5/2025,1,RUG,10,10,,,,
10/5/2025,1,HITEMP,20,20,,,,
10/5/2025,1,CVT CLEANER,220,220,,,,
10/5/2025,1,CHANGE PEDAL,150,150,,,,
10/5/2025,1,CLUTCH CABLE TMX,150,150,,,,
10/5/2025,1,BRAKE SHOE,220,220,,,,
10/5/2025,1,THROTTLE CABLE,150,150,,,,
10/5/2025,1,CLUTCH CABLE,150,150,,,,
10/5/2025,1,4L MOTOLITE ,700,700,,,,
10/5/2025,1,SPARK PLUG,80,80,,,,
10/5/2025,1,THROTTLE CABLE,140,140,,,,
10/5/2025,1,WD40,220,220,,,,
10/5/2025,1,NGK ,180,180,,,,
10/5/2025,1,CASTROL 1L ACTIV ,265,265,,,,
10/5/2025,2,BOLT,26,52,,,,
10/5/2025,1,275 -14,160,160,,,,
10/5/2025,1,FUEL FILTER,50,50,,,,
10/5/2025,1,HOSE 1/2,20,20,,,,
10/5/2025,1,LONG RIDE,420,420,,,,
10/5/2025,1,OIL FILTER,50,50,,,,
10/5/2025,1,Yamalube  Blue Core 1L  ,360,360,,,,
10/5/2025,1,GEAR OIL FULLY SYNTHETIC OIL ,95,95,,,,
10/5/2025,1,FLYBALL ,365,365,,,,
10/5/2025,1,CENTER SPRING ,310,310,,,,
10/5/2025,1,CLUTCH SPRING ,175,175,,,,
10/5/2025,1,SLIDER,150,150,,,,
10/5/2025,1,HI-TEMP GREASE,70,70,,,,
10/5/2025,1,RUG,10,10,,,,
10/5/2025,1,WASHER,5,5,,,,
10/5/2025,1,ON/OFF SWITCH DOMINO ,250,250,,,,
10/5/2025,1,ALIEN BOLT 6X100,50,50,,,,
10/5/2025,2,SEALANT ,100,200,,,,
10/5/2025,2,TIRE VALVE,50,100,,,,
10/5/2025,1,MUTARRU ,1200,1200,,,,
10/5/2025,1,MULTI 800ML ,200,200,,,,
10/5/2025,1,MULTI 1L ,230,230,,,,
10/5/2025,1,LIQUID WAX,150,150,,,,
10/5/2025,1,6301,80,80,,,,
10/5/2025,1,6203 BEARING,80,80,,,,
10/5/2025,3,GREASE,10,30,,,,
10/5/2025,1,GREASE,10,10,,,,
10/5/2025,1,Silvestre AT Fully 800ml ML,260,260,,,,
10/5/2025,1,SIGNAL LIGHT ,150,150,,,,
10/5/2025,4,PLATE BOLT ,10,40,,,,
10/5/2025,2,ALIEN BOLT 6X35 ,30,60,,,,
10/5/2025,1,BRAKE FLUID,70,70,,,,
10/5/2025,1,,150,150,,,,
10/5/2025,,250-17 TUBE,170,170,,,,
10/5/2025,6,ELECTRICAL TAPE,30,180,,,,
10/5/2025,1,CABLE TIE,130,130,,,,
10/5/2025,1,WIRE,180,180,,,,
10/5/2025,1,HORN PIAA,600,600,,,,
10/5/2025,4,HORN TERMINAL,10,40,,,,
10/5/2025,2,HORN RELAY,150,300,,,,
10/5/2025,1,SPARKPLUG,80,80,,,,
10/5/2025,1,CDI,300,300,,,,
10/5/2025,2,6202,80,160,,,,
10/5/2025,1,6004,80,80,,,,
10/5/2025,1,GREASE,10,10,,,,
10/5/2025,1,SPARKPLUG ,180,180,,,,
10/5/2025,1,MULTI 800ML,200,200,,,,
10/5/2025,1,CASTROL 1L POWER1 ,360,360,,,,
10/5/2025,1,BRAKE FLUID,70,70,,,,
10/5/2025,1,LED LIGHT,280,280,,,,
10/6/2025,,BRAKE LEVER ,400,400,,,,
10/6/2025,2,WASHER,8,16,,,,
10/6/2025,1,THROTTLE CABLE,140,140,,,,
10/6/2025,2,6300 BEARING ,80,160,,,,
10/6/2025,1,LIGHT ,35,35,,,,
10/6/2025,8,NUT,7,56,,,,
10/6/2025,1,250-17 TUBE,170,170,,,,
10/6/2025,1,WD40,220,220,,,,
10/6/2025,1,AE 40 200ML,55,55,,,,
10/6/2025,1,EXHAUST GASKET,50,50,,,,
10/6/2025,1,ALLEN BOLT 8X30,35,35,,,,
10/6/2025,1,WASHER,5,5,,,,
10/6/2025,1,FOOTREST,150,150,,,,
10/6/2025,1,LIFAN 125 OVERHAUL GASKET,220,220,,,,
10/6/2025,1,SIDE MIRROR EXT.,30,30,,,,
10/6/2025,1,SEALANT,120,120,,,,
10/6/2025,1,ORIG MIO THROTTLE CABLE,330,330,,,,
10/6/2025,1,SEALANT,120,120,,,,
10/6/2025,1,HOLLOGEN,100,100,,,,
10/6/2025,1,BOI70-14 WITH SEALANT ,1400,1400,GCASH,,,
10/6/2025,1,Silvestre AT Fully 800ml ML,260,260,,,,
