transaction_id,transaction_date,transaction_qty,product_id,day,month,year,month_year,product_name,unit_price
1,2025-08-01,1.0,1,1,8,2025,2025-08,SPARK PLUG,180.0
2,2025-08-01,1.0,2,1,8,2025,2025-08,SPARK PLUG CUP,30.0
3,2025-08-01,1.0,3,1,8,2025,2025-08,250-17 TUBE,550.0
4,2025-08-01,1.0,4,1,8,2025,2025-08,BOLT,30.0
5,2025-08-01,1.0,5,1,8,2025,2025-08,MULTI PURPOSE OIL 800ML,200.0
6,2025-08-01,1.0,6,1,8,2025,2025-08,THROTTLE PIPE,30.0
7,2025-08-01,1.0,7,1,8,2025,2025-08,HAND GRIP,150.0
8,2025-08-01,1.0,4,1,8,2025,2025-08,BOLT,140.0
9,2025-08-01,1.0,8,1,8,2025,2025-08,SAMURAI PAINT,250.0
10,2025-08-01,1.0,9,1,8,2025,2025-08,SAND PAPER,30.0
11,2025-08-01,1.0,4,1,8,2025,2025-08,BOLT,20.0
12,2025-08-01,1.0,10,1,8,2025,2025-08,Yamalube  Blue Core 1L,360.0
13,2025-08-01,4.0,11,1,8,2025,2025-08,ALLEN BOLT,25.0
14,2025-08-01,1.0,4,1,8,2025,2025-08,BOLT,24.0
15,2025-08-01,1.0,8,1,8,2025,2025-08,SAMURAI PAINT,250.0
16,2025-08-01,1.0,1,1,8,2025,2025-08,SPARK PLUG,80.0
17,2025-08-01,1.0,12,1,8,2025,2025-08,SHOCK EXTENSION,150.0
18,2025-08-01,4.0,13,1,8,2025,2025-08,NUT,5.0
19,2025-08-01,1.0,7,1,8,2025,2025-08,HAND GRIP,200.0
20,2025-08-01,1.0,14,1,8,2025,2025-08,SILVESTRE COOLANT 50ML,130.0
21,2025-08-01,1.0,15,1,8,2025,2025-08,BRAKE PAD,150.0
22,2025-08-01,1.0,16,1,8,2025,2025-08,PRESTONE COOLANT,180.0
23,2025-08-01,1.0,17,1,8,2025,2025-08,RUG,10.0
24,2025-08-01,1.0,4,1,8,2025,2025-08,BOLT,60.0
25,2025-08-01,1.0,18,1,8,2025,2025-08,FULLY 800ML,255.0
26,2025-08-01,1.0,19,1,8,2025,2025-08,300-17 TUBE,190.0
27,2025-08-01,1.0,20,1,8,2025,2025-08,SIDE MIRROR,250.0
28,2025-08-01,1.0,21,1,8,2025,2025-08,SEALANT,120.0
29,2025-08-01,1.0,22,1,8,2025,2025-08,CASTROL 800ML,315.0
30,2025-08-01,1.0,23,1,8,2025,2025-08,HANDLE GRIP,200.0
31,2025-08-01,1.0,24,1,8,2025,2025-08,CLUTCH CABLE,150.0
32,2025-08-01,1.0,25,1,8,2025,2025-08,HIRC PULLEY BALL,365.0
33,2025-08-01,1.0,26,1,8,2025,2025-08,fully 800ML,280.0
34,2025-08-01,1.0,27,1,8,2025,2025-08,OIL FILTER,50.0
35,2025-08-01,1.0,10,1,8,2025,2025-08,Yamalube  Blue Core 1L,360.0
36,2025-08-01,1.0,28,1,8,2025,2025-08,BALL RACE,200.0
37,2025-08-01,1.0,29,1,8,2025,2025-08,SHELL 800ML,315.0
38,2025-08-01,1.0,30,1,8,2025,2025-08,BRACKET,100.0
39,2025-08-01,1.0,31,1,8,2025,2025-08,HIRC Pulley BALL NMAX,335.0
40,2025-08-01,1.0,32,1,8,2025,2025-08,HIRC CLUTCH SPRING MIO,175.0
41,2025-08-01,1.0,33,1,8,2025,2025-08,EXHAUST GASKET,30.0
42,2025-08-01,1.0,20,1,8,2025,2025-08,SIDE MIRROR,230.0
43,2025-08-01,2.0,34,1,8,2025,2025-08,ADAPTER,60.0
44,2025-08-01,1.0,35,1,8,2025,2025-08,BOLT 12X40,25.0
45,2025-08-01,1.0,1,1,8,2025,2025-08,SPARK PLUG,80.0
