Product Name,SKU/Barcode,Price
LED Motor Accessories KD-37,ACC-LED-KD37-GEN-001,200
Petron Motorcycle Oil 2T Powerburn 200 ML,OIL-PET-2T-200ML-001,65
Whiz Brake Fluid DOT 3 500 ML,FLD-WHZ-DOT3-500ML-001,280
Pioneer Mighty Gasket 15g,CHEM-PIO-GASK-15G-001,100
"Yamaha Relay Assy (NMAX V2, Aerox V1/V2)",PT-YAM-RL-NMAXV2-001,340
HS Silver Magnetic Coil,PT-HS-COIL-GEN-001,450
Suntal Starter Switch Assy (Click 125i V2/V3),PT-HON-ST-CL125V3-001,485
TTGR XRM-110 ,PT-TTG-PRT-XRM110-001,250
CENT MBI MAYA Brand (XRM-110),PT-MAY-PRT-XRM110-001,250
CENT MBI MAYA Brand (Mio 125),PT-MAY-PRT-MIO125-001,450
GRS Ignition Switch (Raider150),PT-GRS-IGN-RDD150-001,400
Silvestre SAE 40 1 L,OIL-SIL-SAE40-1L-001,200
Silvestre Multi 800 ml,OIL-SIL-MULTI-800M-001,200
Silvestre Multi 1 L,OIL-SIL-MULTI-1L-001,230
Silvestre Fully 800 ml,OIL-SIL-FULL-800M-001,250
Silvestre Fully 1 L,OIL-SIL-FULL-1L-001,280
Silvestre AT Multi 800 ml,OIL-SIL-ATM-800M-001,210
Silvestre AT Fully 800 ml,OIL-SIL-ATF-800M-001,260
Silvestre AT Fully 900ml,OIL-SIL-ATF-900ML-001,275
Silvestre AT Fully 1L,OIL-SIL-ATF-1L-001,290
Shell AX7 (Blue) 800ml,OIL-SHL-AX7B-800ML-001,315
Shell AX7 (Blue) 1L,OIL-SHL-AX7B-1L-001,360
Shell AX5 (Yellow) 800ml,OIL-SHL-AX5Y-800ML-001,250
Shell AX5 (Yellow) 1L,OIL-SHL-AX5Y-1L-001,285
Shell AX3 (Red) 800ml,OIL-SHL-AX3R-800ML-001,230
Shell AX3 (Red) 1L,OIL-SHL-AX3R-1L-001,230
Shell AX7 (Scooter) 800ml,OIL-SHL-AX7S-800ML-001,310
Castrol Activ 800ml,OIL-CAS-ACT-800ML-001,240
Castrol Activ 1L,OIL-CAS-ACT-1L-001,260
Castrol Power 1 800ml,OIL-CAS-PWR1-800ML-001,320
Castrol Power 1 1L,OIL-CAS-PWR1-1L-001,360
Yamalube 20W-40 800ml,OIL-YAM-20W40-800ML-001,280
Yamalube Blue Core 1L,OIL-YAM-BLUE-1L-001,360
BARAKO Clutch Lining,PT-BRK-CLUTCH-GEN-001,250
Lazx Center Stand Spring (NMAX/Aerox),PT-LAZ-CSS-NMAXAERO-001,160
Lazx Side Mirror Clamp,PT-LAZ-MCLAMP-GEN-001,130
HIRC Fast N Furious Air Filter (Gravis),FLT-HRC-AIR-GRAVIS-001,220
Apple Gasket Lifan 125,PT-APL-GASK-LFN125-001,65
Keikhin Carburetor (XRM110),PT-KEI-CARB-XRM110-001,292
Lazx Racing Drive Face (MIO 125),PT-LAZ-DRIVE-MIO125-001,400
Propalm Lamp Set 12V,ELE-PPL-LAMP-12V-001,350
OSRAM LED,ELE-OSR-LED-GEN-001,250
Koby Tire Lotion Black 118ml,CHEM-KBY-TIREBLK-118ML-001,80
King Sfon Anti-Rust Spray Lubricant 220ml,CHEM-KSF-ANTIRUST-220ML-001,120
Poncho Raincoat,ACC-PON-RAIN-GEN-001,250
Progrip Handle Grip Black,ACC-PRO-GRIP-BLK-001,230
HIRC Touch Screen Full Gloves XXL,ACC-HRC-GLOVE-XXL-001,67
Silvestre Tire Sealant 500ml,CHEM-SIL-SEAL-500ML-001,59
Prestone Coolant 500ml,FLD-PRE-COOL-500ML-001,139
Koby Power Spray 450ml,CHEM-KBY-POWSPR-450ML-001,220
OKKRX Signal Lights,ELE-OKX-SIGNAL-GEN-001,150
OTAKA Brake Lever (MIO 125),PT-OTK-BRAKE-MIO125-001,450
UMA Racing Throttle Cable,PT-UMA-THRCBL-GEN-001,400
EJR Brake Light Red,ELE-EJR-BRKLGT-RED-001,150
Carcon Multicolor LED System,ELE-CRC-LED-MULTI-001,300
Apido Ignition Coil,PT-APD-IGNCOIL-GEN-001,280
Sparko 1101 Liquid Gasket 10g,CHEM-SPK-GASK-10G-001,20
OSRAM LED Headlight,ELE-OSR-HDLT-LED-001,250
CSLLED Headlight Bulb,ELE-CSL-HDBULB-GEN-001,349
Volda Foot Rest,ACC-VLD-FOOT-GEN-001,152
Yamaha Brake Shoe Set,PT-YAM-BRKSHOE-SET-001,350
OKM Front Brake Pad Set,PT-OKM-BRKPAD-FRT-001,85
Kawazono Brake Pad,PT-KWZ-BRKPAD-GEN-001,120
